Mode,NLC,ASC,Station,Coverage,Source,count,type,day,year,Latitude,Longitude,Zone,Postcode
LU,500,ACTu,Acton Town,Station entry / exit,Relate,9531,Entries,Weekday (Mon-Fri),2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,6716,Entries,Saturday,2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,4744,Entries,Sunday,2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,9382,Exits,Weekday (Mon-Fri),2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,6617,Exits,Saturday,2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,4785,Exits,Sunday,2017,51.50307144,-0.280302701,3,W3 8HN
LU,500,ACTu,Acton Town,Station entry / exit,Relate,5731527.112,En/Ex,Annualised,2017,51.50307144,-0.280302701,3,W3 8HN
LU,502,ALDu,Aldgate,Station entry / exit,Relate,15080,Entries,Weekday (Mon-Fri),2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,4397,Entries,Saturday,2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,3261,Entries,Sunday,2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,16023,Exits,Weekday (Mon-Fri),2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,5909,Exits,Saturday,2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,4230,Exits,Sunday,2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,502,ALDu,Aldgate,Station entry / exit,Relate,8459233.625,En/Ex,Annualised,2017,51.51434238,-0.075626913,1,EC3N 1AH
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,22327,Entries,Weekday (Mon-Fri),2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,16166,Entries,Saturday,2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,13323,Entries,Sunday,2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,21071,Exits,Weekday (Mon-Fri),2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,13893,Exits,Saturday,2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,11347,Exits,Sunday,2017,51.51508162,-0.073001463,1,E1 7PT
LU,503,ALEu,Aldgate East,Station entry / exit,Relate,13262408.27,En/Ex,Annualised,2017,51.51508162,-0.073001463,1,E1 7PT
LU,505,ALPu,Alperton,Station entry / exit,Relate,4495,Entries,Weekday (Mon-Fri),2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,3279,Entries,Saturday,2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,2345,Entries,Sunday,2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,5081,Exits,Weekday (Mon-Fri),2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,3392,Exits,Saturday,2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,2445,Exits,Sunday,2017,51.54120927,-0.299515759,4,HA0 4LL
LU,505,ALPu,Alperton,Station entry / exit,Relate,2896391.378,En/Ex,Annualised,2017,51.54120927,-0.299515759,4,HA0 4LL
LU,506,AMEu,Amersham,Station entry / exit,Relate,3848,Entries,Weekday (Mon-Fri),2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,1876,Entries,Saturday,2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,1232,Entries,Sunday,2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,4025,Exits,Weekday (Mon-Fri),2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,1797,Exits,Saturday,2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,1121,Exits,Sunday,2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,506,AMEu,Amersham,Station entry / exit,Relate,2215501.947,En/Ex,Annualised,2017,51.67412932,-0.606513789,9,HP6 5AZ
LU,507,ANGu,Angel,Station entry / exit,Relate,30413,Entries,Weekday (Mon-Fri),2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,20944,Entries,Saturday,2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,13916,Entries,Sunday,2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,30099,Exits,Weekday (Mon-Fri),2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,22368,Exits,Saturday,2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,13832,Exits,Sunday,2017,51.53296802,-0.105581449,1,N1 8XB
LU,507,ANGu,Angel,Station entry / exit,Relate,18236122.52,En/Ex,Annualised,2017,51.53296802,-0.105581449,1,N1 8XB
LU,508,ARCu,Archway,Station entry / exit,Relate,15336,Entries,Weekday (Mon-Fri),2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,10701,Entries,Saturday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,7424,Entries,Sunday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,13956,Exits,Weekday (Mon-Fri),2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,9023,Exits,Saturday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,6816,Exits,Sunday,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,508,ARCu,Archway,Station entry / exit,Relate,8806365.211,En/Ex,Annualised,2017,51.56549053,-0.135121577,"2,3",N19 5RQ
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,7443,Entries,Weekday (Mon-Fri),2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,5868,Entries,Saturday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,3986,Entries,Sunday,2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,6732,Exits,Weekday (Mon-Fri),2017,51.61623014,-0.134270219,4,N11 1AN
LU,509,AGRu,Arnos Grove,Station entry / exit,Relate,5100,Exits,Saturday,2017,51.61623014,-0.134270219,4,N11 1AN
